,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
364,an,an,and,365,41,5,Verse 2: Will Smith,17,150,14,11,11,"[71, 151, 214, 236, 250, 337, 350, 365, 384, 434, 520, 551, 599, 642]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,"['—used as a function word to indicate connection or addition especially of items within the same class or type—used to join sentence elements of the same grammatical rank or function', '—used as a function word to express logical modification, consequence, antithesis, or supplementary explanation', '—used as a function word to join one finite verb (such as go, come, try) to another so that together they are logically equivalent to an infinitive of purpose']","[['constantly', 'continually', 'frequently', 'hourly', 'much', 'oft', 'often', 'oftentimes', 'over and over', 'repeatedly']]",['much'],"[['infrequently', 'little', 'rarely', 'seldom']]",['little'], it didn't work out with me and your mom,NEGATIVE,0.9997,-0.9997,0,0.0,0.9708,92,0.5227272727272727,23.0436,-24.303665
365,your,your,your,366,41,5,Verse 2: Will Smith,17,151,10,10,10,"[107, 125, 130, 247, 366, 394, 467, 518, 566, 577]","[('your', 'PRP$')]",PRON,POSITIVE,0.9981,"['of or relating to you or yourself or yourselves especially as possessor or possessors, agent or agents, or object or objects of an action', 'of or relating to one or oneself', '—used with little or no meaning almost as an equivalent to the definite article the']","[['aggressive', 'ambitious', 'assertive', 'enterprising', 'fierce', 'go-getting', 'high-pressure', 'militant', 'pushy', 'self-asserting', 'self-assertive']]",[],"[['ambitionless', 'low-pressure', 'nonassertive', 'unaggressive', 'unambitious', 'unassertive', 'unenterprising']]",[], it didn't work out with me and your mom,NEGATIVE,0.9997,-0.9997,0,0.0,0.9981,159,0.9034090909090909,-30.596384,3.858068
366,mom,mom,mom,367,41,5,Verse 2: Will Smith,17,152,1,1,1,[367],"[('mom', 'NN')]",N,POSITIVE,0.9943,['a female parent : mother — often used as a name'],"[['ma', 'mama', 'mammy', 'mater', 'mommy', 'mother', 'old lady']]",[],[],[], it didn't work out with me and your mom,NEGATIVE,0.9997,-0.9997,0,0.0,0.9943,136,0.7727272727272727,-8.177902,12.260319
367,But,But,but,368,42,5,Verse 2: Will Smith,18,153,7,7,7,"[274, 299, 368, 484, 497, 503, 533]","[('but', 'CC')]",CONJ,NEGATIVE,0.9101,"['except for the fact', 'that —used after a negative', 'without the concomitant that']","[['apart from', 'aside from', 'bar', 'barring', 'beside', 'besides', 'except', 'except for', 'excluding', 'exclusive of', 'other than', 'outside', 'outside of', 'save', 'saving']]",[],[],[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,-0.9101,38,0.2159090909090909,12.514913,17.191313
368,"yo,",yo,yo,369,42,5,Verse 2: Will Smith,18,154,2,2,2,"[369, 485]","[('yo', 'NN')]",N,POSITIVE,0.9966,"['—used especially to call attention, to indicate attentiveness, or to express affirmation']","[['all right', 'alright', 'aye', 'exactly', 'OK', 'okeydoke', 'yea', 'yeah', 'yep', 'yes']]",[],"[['nay', 'no', 'no way', 'scarcely']]",['no'], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9966,148,0.8409090909090909,-14.551425,16.87051
369,push,push,push,370,42,5,Verse 2: Will Smith,18,155,1,1,1,[370],"[('push', 'NN')]",N,NEGATIVE,0.9843,"['to press against with force in order to drive or impel', 'to move or endeavor to move away or ahead by steady pressure without striking', 'to thrust forward, downward, or outward']","[['drive', 'propel', 'shove', 'thrust'], ['bore', 'bull', 'bulldoze', 'crash', 'elbow', 'jam', 'jostle', 'muscle', 'press', 'shoulder', 'squeeze']]",['shove'],[],[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,-0.9843,22,0.125,-5.8041863,-8.082348
370,come,come,come,371,42,5,Verse 2: Will Smith,18,156,2,2,2,"[371, 594]","[('come', 'VB')]",V,POSITIVE,0.9984,"['to move toward something : approach', 'to move or journey to a vicinity with a specified purpose', 'to reach a particular station in a series']","[['advance', 'approach', 'near', 'nigh'], ['appear', 'arrive', 'get in', 'get through', 'land', 'show up', 'turn up'], ['become', 'get', 'go', 'grow', 'run', 'turn', 'wax'], ['be', 'befall', 'betide', 'chance', 'come about', 'come down', 'come off', 'cook', 'do', 'go down', 'go on', 'hap', 'happen', 'occur', 'pass', 'transpire'], ['advance', 'come along', 'do', 'fare', 'forge', 'get along', 'get on', 'go', 'go along', 'go off', 'march', 'pace', 'proceed', 'progress']]","['get', 'go', 'be', 'do']","[['go', 'recede (from)', 'retreat', 'withdraw'], ['go', 'leave'], ['remain', 'stand', 'stay', 'stop']]",['go'], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9984,162,0.9204545454545454,-6.063932,-14.146861
371,to,to,to,372,42,5,Verse 2: Will Smith,18,157,12,12,12,"[85, 124, 148, 174, 294, 318, 330, 372, 440, 458, 473, 510]","[('to', 'TO')]",OTH,POSITIVE,0.9653,"['—used as a function word to indicate movement or an action or condition suggestive of movement toward a place, person, or thing reached', '—used as a function word to indicate direction', '—used as a function word to indicate contact or proximity']","[['afore', 'ahead of', 'before', 'ere', 'fore', 'of', 'previous to', 'prior to']]","['before', 'of']","[['after', 'following']]",[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9653,86,0.48863636363636365,24.796862,-12.05018
372,"shove,",shove,shove,373,42,5,Verse 2: Will Smith,18,158,1,1,1,[373],"[('shove', 'NN')]",N,NEGATIVE,0.9958,"['to push along', 'to push or put in a rough, careless, or hasty manner : thrust', 'to force by other than physical means : compel']","[['drive', 'propel', 'push', 'thrust'], ['bear (down on)', 'depress', 'press', 'weigh (on or upon)']]",['push'],[],[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,-0.9958,18,0.10227272727272728,-5.6778603,-8.094114
373,you,you,you,374,42,5,Verse 2: Will Smith,18,159,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9991,168,0.9545454545454546,-37.20141,4.7238965
374,was,was,was,375,42,5,Verse 2: Will Smith,18,160,1,1,1,[375],"[('was', 'VBD')]",V,POSITIVE,0.7796,[],"[['breathed', 'existed', 'lived', 'subsisted'], ['bore', 'lay', 'sat', 'stood'], ['graded', 'placed', 'ranked', 'rated', 'stood'], ['befell', 'betided', 'came', 'came about', 'came down', 'came off', 'chanced', 'cooked', 'did', 'happed', 'happened', 'occurred', 'passed', 'transpired', 'went down', 'went on']]","['placed', 'came']","[['departed', 'died', 'expired', 'passed away', 'perished', 'succumbed']]",[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.7796,55,0.3125,8.814545,-1.6887796
375,conceived,conceived,conceived,376,42,5,Verse 2: Will Smith,18,161,1,1,1,[376],"[('conceived', 'VBN')]",V,POSITIVE,0.9988,"['to become pregnant with (young)', 'to cause to begin : originate', ""to take into one's mind""]","[['envisaged', 'envisioned', 'pictured', 'visualized', 'unbelievable', 'unconvincing', 'unlikely', 'daydreamlike', 'deceptive', 'delusional', 'delusive', 'hallucinatory', 'illusory', 'phantasmagoric', 'abstract', 'hypothetical', 'theoretical', 'concocted', 'fabricated', 'feigned', 'fictive', 'fabled', 'legendary', 'romantic', 'inexistent', 'nonexistent', 'chimerical', 'fabulous', 'fanciful', 'fantasied', 'fantastic', 'fictional', 'fictitious', 'ideal', 'imaginal', 'imaginary', 'imagined', 'invented', 'made-up', 'make-believe', 'mythical', 'notional', 'phantasmal', 'phantasmic', 'phantom', 'pretend', 'unreal', 'visionary']]",['pretend'],"[['actual', 'existent', 'existing', 'real', 'authentic', 'genuine', 'true', 'factual', 'verifiable', 'verified', 'believable', 'convincing', 'realistic', 'corporeal', 'material', 'physical', 'solid', 'substantial', 'palpable', 'tangible']]",['true'], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9988,165,0.9375,-9.982493,0.4708231
376,in,in,in,377,42,5,Verse 2: Will Smith,18,162,11,8,8,"[42, 59, 90, 106, 205, 357, 377, 425, 505, 565, 633]","[('in', 'IN')]",PREP,POSITIVE,0.9790000000000001,"['—used as a function word to indicate inclusion, location, or position within limits', 'into', '—used as a function word to indicate means, medium, or instrumentality']","[['by', 'per', 'through', 'via', 'with']]",['with'],[],[], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9790000000000001,97,0.5511363636363636,4.7300067,-23.59077
377,love,love,love,378,42,5,Verse 2: Will Smith,18,163,3,3,3,"[166, 378, 597]","[('love', 'NN')]",N,POSITIVE,0.9999,"['strong affection for another arising out of kinship or personal ties', 'attraction based on sexual desire : affection and tenderness felt by lovers', 'affection based on admiration, benevolence, or common interests']","[['appreciate', 'cherish', 'prize', 'treasure', 'value'], ['adore', 'cherish', 'worship'], ['adore', 'delight (in)', 'dig', 'enjoy', 'fancy', 'get off (on)', 'groove (on)', 'like', 'rejoice (in)', 'relish', 'revel (in)', 'savor'], ['caress', 'fondle', 'gentle', 'pat', 'pet', 'stroke']]",['like'],"[['disvalue'], ['abhor', 'abominate', 'despise', 'detest', 'execrate', 'hate', 'loathe']]",['hate'], but yo push come to shove you was conceived in love,POSITIVE,0.8816,0.8816,25,0.4807692307692308,0.9999,176,1.0,-13.134901,-5.134515
378,So,So,so,379,43,5,Verse 2: Will Smith,19,164,2,2,2,"[379, 447]","[('so', 'RB')]",ADV,POSITIVE,0.9129999999999999,"['in a manner or way indicated or suggested —often used as a substitute for a preceding clause', 'in the same manner or way : also', 'thus']","[['accordingly', 'consequently', 'ergo', 'hence', 'therefore', 'thereupon', 'thus', 'wherefore'], ['alike', 'also', 'correspondingly', 'ditto', 'likewise', 'similarly'], ['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'far', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'that', 'thumping', 'too', 'unco', 'uncommonly', 'vastly', 'very', 'vitally', 'way', 'whacking', 'wicked', 'wildly'], ['all right', 'alright', 'assuredly', 'certainly', 'clearly', 'definitely', 'doubtless', 'easily', 'forsooth', 'hands down', 'inarguably', 'incontestably', 'incontrovertibly', 'indeed', 'indisputably', 'plainly', 'really', 'sure', 'surely', 'truly', 'unarguably', 'undeniably', 'undoubtedly', 'unquestionably']]","['much', 'right', 'that', 'too', 'very']","[['differently', 'dissimilarly', 'otherwise'], ['little', 'negligibly', 'nominally', 'slightly', 'somewhat']]",['little'], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.9129999999999999,65,0.3693181818181818,10.132502,14.55376
379,if,if,if,380,43,5,Verse 2: Will Smith,19,165,5,2,2,"[185, 341, 380, 405, 613]","[('if', 'IN')]",PREP,POSITIVE,0.7390000000000001,"['in the event that', 'allowing that', 'on the assumption that']","[['assumption', 'given', 'hypothetical', 'postulate', 'premise', 'presumption', 'presupposition', 'supposition'], ['condition', 'contingency', 'provision', 'proviso', 'qualification', 'reservation', 'stipulation']]",[],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.7390000000000001,52,0.29545454545454547,11.930394,-1.482748
380,the,the,the,381,43,5,Verse 2: Will Smith,19,166,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.9636,84,0.4772727272727273,6.7483964,-13.045416
381,world,world,world,382,43,5,Verse 2: Will Smith,19,167,1,1,1,[382],"[('world', 'NN')]",N,POSITIVE,0.9981,"['the earthly state of human existence', 'life after death —used with a qualifier', 'the earth with its inhabitants and all things upon it']","[['folks', 'humanity', 'humankind', 'people', 'public', 'species'], ['earth', 'globe', 'planet'], ['cosmos', 'creation', 'macrocosm', 'nature', 'universe'], ['galaxy', 'light-year']]",['people'],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.9981,159,0.9034090909090909,-16.018461,5.853931
382,"attacks,",attacks,attacks,383,43,5,Verse 2: Will Smith,19,168,1,1,1,[383],"[('attacks', 'NNS')]",N,NEGATIVE,0.9993,"['to set upon or work against forcefully', 'to assail with unfriendly or bitter words', 'to begin to affect or to act on injuriously']","[['aggressions', 'assaults', 'attempts', 'blitzes', 'blitzkriegs', 'charges', 'coups de main', 'descents', 'offenses', 'offensives', 'onsets', 'onslaughts', 'raids', 'rushes', 'strikes'], ['accesses', 'bouts', 'cases', 'fits', 'seizures', 'sieges', 'spells', 'turns']]",[],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,-0.9993,4,0.022727272727272728,1.6185355,-7.7568893
383,and,and,and,384,43,5,Verse 2: Will Smith,19,169,14,11,11,"[71, 151, 214, 236, 250, 337, 350, 365, 384, 434, 520, 551, 599, 642]","[('and', 'CC')]",CONJ,POSITIVE,0.9708,"['—used as a function word to indicate connection or addition especially of items within the same class or type—used to join sentence elements of the same grammatical rank or function', '—used as a function word to express logical modification, consequence, antithesis, or supplementary explanation', '—used as a function word to join one finite verb (such as go, come, try) to another so that together they are logically equivalent to an infinitive of purpose']","[['constantly', 'continually', 'frequently', 'hourly', 'much', 'oft', 'often', 'oftentimes', 'over and over', 'repeatedly']]",['much'],"[['infrequently', 'little', 'rarely', 'seldom']]",['little'], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.9708,92,0.5227272727272727,22.364895,-23.513004
384,you,you,you,385,43,5,Verse 2: Will Smith,19,170,30,27,27,"[41, 53, 101, 105, 142, 175, 213, 225, 245, 256, 270, 281, 289, 300, 319, 328, 342, 346, 351, 374, 385, 433, 445, 547, 550, 553, 570, 598, 603, 641]","[('you', 'PRP')]",PRON,POSITIVE,0.9991,"['the one or ones being addressed —used as the pronoun of the second person singular or plural in any grammatical relation except that of a possessive —used formerly only as a plural pronoun of the second person in the dative or accusative case as direct or indirect object of a verb or as object of a preposition', 'one']","[['what all', 'whatever', 'whatnot']]",[],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.9991,168,0.9545454545454546,-38.504375,5.849305
385,slide,slide,slide,386,43,5,Verse 2: Will Smith,19,171,1,1,1,[386],"[('slide', 'NN')]",N,NEGATIVE,0.5543,"['to move smoothly along a surface : slip', 'to coast over snow or ice', 'to fall or dive feetfirst or headfirst when approaching a base']","[['lurk', 'mooch', 'mouse', 'pussyfoot', 'shirk', 'skulk', 'slink', 'slip', 'snake', 'sneak', 'steal'], ['bowl', 'breeze', 'brush', 'coast', 'cruise', 'drift', 'flow', 'glide', 'roll', 'sail', 'skim', 'slip', 'stream', 'sweep', 'whisk'], ['belly', 'crawl', 'creep', 'grovel', 'slither', 'snake', 'worm', 'wriggle']]",[],"[['flounder', 'struggle']]",[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,-0.5543,50,0.2840909090909091,-1.1466446,-7.98724
386,off,off,off,387,43,5,Verse 2: Will Smith,19,172,1,1,1,[387],"[('off', 'IN')]",PREP,NEGATIVE,0.9975,"['from a place or position; specifically : away from land', 'at a distance in space or time', 'from a course : aside; specifically : away from the wind']","[['away', 'down', 'fro', 'hence', 'out']]",['out'],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,-0.9975,14,0.07954545454545454,1.9167236,-0.15143926
387,track,track,track,388,43,5,Verse 2: Will Smith,19,173,1,1,1,[388],"[('track', 'NN')]",N,POSITIVE,0.9972,"['a footprint whether recent or fossil', 'detectable evidence (such as the wake of a ship, a line of footprints, or a wheel rut) that something has passed', 'a path made by or as if by repeated footfalls : trail']","[['imprint', 'trace', 'trail'], ['footpath', 'path', 'pathway', 'trace', 'trail'], ['course', 'line', 'path', 'pathway', 'route', 'routeway', 'steps', 'way']]",['line'],[],[], so if the world attacks and you slide off track,NEGATIVE,0.9971,-0.9971,2,0.038461538461538464,0.9972,153,0.8693181818181818,-16.36375,0.15943795
388,Remember,Remember,remember,389,44,5,Verse 2: Will Smith,20,174,1,1,1,[389],"[('remember', 'VB')]",V,POSITIVE,0.9982,"['to bring to mind or think of again', 'bethink', 'remind']","[['flash back (to)', 'hark back (to)', 'harken back (to)', 'hearken back (to)', 'mind', 'recall', 'recollect', 'reminisce (about)', 'reproduce', 'think (of)']]",['mind'],"[['disremember', 'forget', 'unlearn']]",[], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9982,160,0.9090909090909091,-9.154171,-11.778686
389,one,one,one,390,44,5,Verse 2: Will Smith,20,175,4,4,4,"[114, 390, 489, 512]","[('one', 'CD')]",DET,POSITIVE,0.9883,"['being a single unit or thing', 'being one in particular', 'being preeminently what is indicated']","[['bone', 'buck', 'clam', 'dollar', 'smacker']]",[],[],[], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9883,117,0.6647727272727273,36.117428,10.925068
390,"fact,",fact,fact,391,44,5,Verse 2: Will Smith,20,176,1,1,1,[391],"[('fact', 'NN')]",N,POSITIVE,0.9984,"['something that has actual existence', 'an actual occurrence', 'a piece of information presented as having objective reality']","[['actuality', 'factuality', 'materiality', 'reality'], ['actuality', 'case', 'materiality', 'reality'], ['datum', 'detail', 'nicety', 'particular', 'particularity', 'point', 'specific'], ['data', 'information']]",['case'],"[['irreality', 'unreality'], ['fantasy', 'fiction', 'illusion']]",[], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9984,162,0.9204545454545454,-9.204062,4.0578713
391,I,I,I,392,44,5,Verse 2: Will Smith,20,177,30,27,27,"[45, 63, 111, 116, 119, 127, 138, 140, 152, 170, 215, 222, 226, 253, 267, 275, 292, 308, 316, 320, 325, 338, 392, 435, 452, 454, 475, 596, 643, 653]","[('I', 'PRP')]",PRON,POSITIVE,0.9797,"['the 9th letter of the English alphabet', 'a graphic representation of this letter', 'a speech counterpart of orthographic i']",[],[],[],[], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9797,98,0.5568181818181818,18.23045,5.5295286
392,got,got,got,393,44,5,Verse 2: Will Smith,20,178,5,5,5,"[96, 100, 246, 393, 446]","[('got', 'VBD')]",V,POSITIVE,0.9995,[],"[['learned', 'mastered', 'picked up'], ['came down (with)', 'caught', 'contracted', 'sickened (with)', 'took', 'went down (with)'], ['begot', 'fathered', 'sired'], ['argued', 'brought', 'brought around', 'converted', 'convinced', 'gained', 'induced', 'moved', 'persuaded', 'prevailed (on or upon)', 'satisfied', 'talked (into)', 'won (over)'], ['ascertained', 'descried', 'detected', 'determined', 'discovered', 'dredged (up)', 'dug out', 'dug up', 'ferreted (out)', 'found', 'found out', 'hit (on or upon)', 'hunted (down or up)', 'learned', 'located', 'nosed out', 'ran down', 'rooted (out)', 'routed (out)', 'rummaged', 'scared up', 'scouted (up)', 'tracked (down)', 'turned up'], ['aggravated', 'annoyed', 'ate', 'bothered', 'bugged', 'burned (up)', 'chafed', 'exasperated', 'frosted', 'galled', 'grated', 'griped', 'hacked (off)', 'irked', 'irritated', 'itched', 'narked', 'nettled', 'peeved', 'persecuted', 'piqued', 'put out', 'rasped', 'riled', 'ruffled', 'spited', 'vexed'], ['became', 'came', 'grew', 'ran', 'turned', 'waxed', 'went'], ['acquired', 'attained', 'bagged', 'brought in', 'came by', 'captured', 'carried', 'drew', 'earned', 'gained', 'garnered', 'knocked down', 'landed', 'made', 'obtained', 'procured', 'pulled down', 'realized', 'reaped', 'secured', 'won'], ['appreciated', 'apprehended', 'assimilated', 'beheld', 'caught', 'caught on (to)', 'cognized', 'compassed', 'comprehended', 'conceived', 'cottoned (to or on to)', 'deciphered', 'decoded', 'discerned', 'dug', 'grasped', 'grokked', 'intuited', 'knew', 'made', 'made out', 'perceived', 'recognized', 'registered', 'savvied', 'saw', 'seized', 'sensed', 'tumbled (to)', 'twigged', 'understood'], ['bagged', 'captured', 'caught', 'collared', 'copped', 'corralled', 'glommed', 'grabbed', 'grappled', 'hooked', 'landed', 'nabbed', 'nailed', 'netted', 'nobbled', 'rapped', 'seized', 'snagged', 'snapped (up)', 'snared', 'snatched', 'trapped'], ['bailed', 'bailed out', 'booked', 'bugged off', 'bugged out', 'buggered off', 'buzzed (off)', 'cleared off', 'cleared out', 'cut out', 'departed', 'dug out', 'exited', 'got off', 'moved', 'packed (up or off)', 'parted', 'peeled off', 'piked (out or off)', 'pulled out', 'pushed off', 'pushed on', 'quit', 'ran along', 'sallied (forth)', 'scarpered', 'shoved (off)', 'stepped (along)', 'took off', 'vamoosed', 'walked out', 'went', 'went off'], ['beat', 'bested', 'conquered', 'defeated', 'did down', 'dispatched', 'got around', 'licked', 'mastered', 'overbore', 'overcame', 'overmatched', 'prevailed (over)', 'skunked', 'stopped', 'subdued', 'surmounted', 'took', 'trimmed', 'triumphed (over)', 'upended', 'won (against)', 'worsted'], ['addressed', 'communicated (with)', 'contacted', 'reached'], ['assassinated', 'bumped off', 'croaked', 'did in', 'dispatched', 'executed', 'iced', 'knocked off', 'liquidated', 'murdered', 'neutralized', 'offed', 'put away', 'rubbed out', 'slew', 'snuffed', 'terminated', 'took out', 'whacked'], ['addled', 'baffled', 'bamboozled', 'beat', 'befogged', 'befuddled', 'bemused', 'bewildered', 'buffaloed', 'confounded', 'confused', 'discombobulated', 'disoriented', 'flummoxed', 'foxed', 'fuddled', 'graveled', 'mazed', 'muddied', 'muddled', 'mystified', 'perplexed', 'posed', 'puzzled', 'vexed']]","['took', 'came', 'conceived', 'knew']","[['unlearned'], ['missed', 'overlooked', 'passed over'], ['forfeited', 'lost'], ['missed'], ['missed'], ['arrived', 'came', 'showed up', 'turned up'], ['lost (to)']]",['came'], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9995,172,0.9772727272727273,1.6414454,-10.893706
393,your,your,your,394,44,5,Verse 2: Will Smith,20,179,10,10,10,"[107, 125, 130, 247, 366, 394, 467, 518, 566, 577]","[('your', 'PRP$')]",PRON,POSITIVE,0.9981,"['of or relating to you or yourself or yourselves especially as possessor or possessors, agent or agents, or object or objects of an action', 'of or relating to one or oneself', '—used with little or no meaning almost as an equivalent to the definite article the']","[['aggressive', 'ambitious', 'assertive', 'enterprising', 'fierce', 'go-getting', 'high-pressure', 'militant', 'pushy', 'self-asserting', 'self-assertive']]",[],"[['ambitionless', 'low-pressure', 'nonassertive', 'unaggressive', 'unambitious', 'unassertive', 'unenterprising']]",[], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9981,159,0.9034090909090909,-30.118704,3.7683997
394,back,back,back,395,44,5,Verse 2: Will Smith,20,180,1,1,1,[395],"[('back', 'RB')]",ADV,POSITIVE,0.9845,"['the rear part of the human body especially from the neck to the end of the spine', 'the body considered as the wearer of clothes', 'capacity for labor, effort, or endurance']","[['ago', 'agone', 'since', 'syne'], ['about', 'around', 'backward', 'round'], ['backward', 'rearward']]",[],"[['hence'], ['ahead', 'along', 'forth', 'forward', 'forwards', 'on', 'onward']]",['on'], remember one fact I got your back,NEGATIVE,0.9741,-0.9741,15,0.28846153846153844,0.9845,105,0.5965909090909091,0.948497,1.5060018
395,Just,Just,just,396,45,6,Chorus,1,1,24,5,4,"[9, 14, 19, 24, 29, 84, 176, 188, 193, 198, 208, 232, 396, 408, 413, 418, 428, 457, 504, 604, 616, 621, 626, 636]","[('just', 'RB')]",ADV,POSITIVE,0.8226,"['having a basis in or conforming to fact or reason : reasonable', 'conforming to a standard of correctness : proper', 'faithful to an original']","[['exactly', 'precisely'], ['barely', 'hardly', 'marginally', 'narrowly', 'scarcely', 'slightly'], ['but', 'merely', 'only', 'purely', 'simply'], ['due', 'exactly', 'full', 'precisely', 'right', 'sharp', 'smack-dab', 'squarely'], ['alone', 'exclusively', 'only', 'purely', 'simply', 'solely'], ['freshly', 'late', 'lately', 'new', 'newly', 'now', 'only', 'recently']]","['but', 'right', 'now']","[['considerably', 'significantly', 'substantially', 'vastly', 'well'], ['anciently']]",[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.8226,59,0.3352272727272727,6.475123,15.578067
396,the,the,the,397,45,6,Chorus,1,2,38,15,15,"[10, 15, 20, 25, 30, 35, 38, 76, 87, 154, 177, 189, 194, 199, 206, 209, 272, 310, 381, 397, 409, 414, 419, 426, 429, 461, 495, 527, 539, 559, 574, 586, 605, 617, 622, 627, 634, 637]","[('the', 'DT')]",DET,POSITIVE,0.9636,"['—used as a function word to indicate that a following noun or noun equivalent is definite or has been previously specified by context or by circumstance', '—used as a function word to indicate that a following noun or noun equivalent is a unique or a particular member of its class', '—used as a function word before nouns that designate natural phenomena or points of the compass']","[['beer and skittles', 'easy street', 'fun and games', 'hog heaven', 'picnic']]",[],[],[], just the two of us we can make it if we try,POSITIVE,0.9997,0.9997,50,0.9615384615384616,0.9636,84,0.4772727272727273,7.383893,-12.870528
