,word_can_search,m_w_definition,m_w_synonyms,m_w_synonyms_in_data,m_w_antonyms,m_w_antonyms_in_data
83,because,"['for the reason that : since', 'the fact that : that']","[[""'cause"", 'as', 'as long as', 'being (as or as how or that)', 'considering', 'for', 'inasmuch as', 'now', 'seeing', 'since', 'whereas']]","['as', 'for', 'now']",[],[]
84,know,"['to perceive directly : have direct cognition of', 'to have understanding of', 'to recognize the nature of : discern']","[['comprehend', 'grasp', 'understand'], ['endure', 'experience', 'feel', 'have', 'pass', 'see', 'suffer', 'sustain', 'taste', 'undergo', 'witness'], ['appreciate', 'apprehend', 'assimilate', 'behold', 'catch', 'catch on (to)', 'cognize', 'compass', 'comprehend', 'conceive', 'cotton (to or on to)', 'decipher', 'decode', 'dig', 'discern', 'get', 'grasp', 'grok', 'intuit', 'make', 'make out', 'perceive', 'recognize', 'register', 'savvy', 'see', 'seize', 'sense', 'tumble (to)', 'twig', 'understand']]","['feel', 'see', 'get', 'make']",[['miss']],[]
85,loved,"['to hold dear : cherish', ""to feel a lover's passion, devotion, or tenderness for"", 'caress']","[['beloved', 'cherished', 'darling', 'dear', 'fair-haired', 'favored', 'favorite', 'fond', 'pet', 'precious', 'special', 'sweet', 'white-headed']]",[],[['unbeloved']],[]
86,more,"['greater', 'additional, further']","[['additionally', 'again', 'also', 'besides', 'either', 'further', 'furthermore', 'likewise', 'moreover', 'then', 'too', 'withal', 'yet'], ['better']]","['then', 'too']",[],[]
87,than,"['—used as a function word to indicate the second member or the member taken as the point of departure in a comparison expressive of inequality—used with comparative adjectives and comparative adverbs', '—used as a function word to indicate difference of kind, manner, or identity—used especially with some adjectives and adverbs that express diversity', 'rather than —usually used only after prefer, preferable, and preferably']","[['apart from', 'aside from', 'bar', 'barring', 'beside', 'besides', 'but', 'except', 'except for', 'excluding', 'exclusive of', 'outside', 'outside of', 'save', 'saving']]",['but'],[],[]
88,life,"['the quality that distinguishes a vital and functional being from a dead body', 'a principle or force that is considered to underlie the distinctive quality of animate beings', 'an organismic state characterized by capacity for metabolism, growth, reaction to stimuli, and reproduction']","[['bio', 'biography', 'memoir'], ['baby', 'being', 'bird', 'bod', 'body', 'character', 'cookie', 'creature', 'customer', 'devil', 'duck', 'egg', 'face', 'fish', 'guy', 'head', 'human', 'human being', 'individual', 'man', 'mortal', 'party', 'person', 'personage', 'scout', 'slob', 'sort', 'soul', 'specimen', 'stiff', 'thing', 'wight'], ['beans', 'bounce', 'brio', 'dash', 'drive', 'dynamism', 'energy', 'esprit', 'gas', 'get-up-and-go', 'ginger', 'go', 'gusto', 'hardihood', 'juice', 'moxie', 'oomph', 'pep', 'punch', 'sap', 'snap', 'starch', 'verve', 'vigor', 'vim', 'vinegar', 'vitality', 'zing', 'zip'], ['continuance', 'date', 'duration', 'life span', 'lifetime', 'run', 'standing', 'time'], ['civilization', 'culture', 'lifestyle', 'society']]","['baby', 'head', 'man', 'go', 'standing', 'time']","[['lethargy', 'listlessness', 'sluggishness', 'torpidity']]",[]
89,itself,"['that identical one —used reflexively, for emphasis, or in absolute constructions', 'its normal, healthy, or sane condition']",[],[],[],[]
90,then,"['at that time', 'soon after that : next in order of time', 'following next after in order of position, narration, or enumeration : being next in a series']","[['additionally', 'again', 'also', 'besides', 'either', 'further', 'furthermore', 'likewise', 'more', 'moreover', 'too', 'withal', 'yet']]","['more', 'too']",[],[]
91,knees,"['a joint in the middle part of the human leg that is the articulation between the femur, tibia, and patella; also : the part of the leg that includes this joint', 'the joint in the hind leg of a four-footed vertebrate that corresponds to the human knee', 'the carpal joint of the foreleg of a four-footed vertebrate']","[['body blows', 'hands', 'kicks', 'lefts', 'one-twos', 'rabbit punches', 'right-handers', 'rights', 'roundhouses', 'shivers', 'sidewinders', 'sucker punches', 'swings', 'uppercuts', 'counterblows', 'counterpunches', 'counters', 'counterstrokes', 'crunchers', 'kayos', 'knockdowns', 'knockouts', 'KOs', 'bangs', 'bashes', 'bats', 'beats', 'belts', 'biffs', 'blows', 'bops', 'boxes', 'buffets', 'busts', 'chops', 'claps', 'clips', 'clouts', 'cracks', 'cuffs', 'dabs', 'douses', 'fillips', 'hacks', 'haymakers', 'hits', 'hooks', 'knocks', 'larrups', 'lashes', 'licks', 'pelts', 'picks', 'plumps', 'pokes', 'pounds', 'punches', 'raps', 'slams', 'slaps', 'slugs', 'smacks', 'smashes', 'socks', 'spanks', 'stingers', 'stripes', 'strokes', 'swats', 'swipes', 'switches', 'thuds', 'thumps', 'thwacks', 'wallops', 'welts', 'whacks', 'whams', 'whops', 'bastinadoes', 'batterings', 'beatings', 'drubbings', 'lickings', 'pastings', 'thrashings', 'wallopings', 'whippings', 'whips']]",[],[],[]
92,begged,"['to ask for as a charity', 'to ask earnestly for : entreat', 'to require as necessary or appropriate']","[['appealed (to)', 'beseeched', 'besieged', 'conjured', 'entreated', 'impetrated', 'implored', 'importuned', 'petitioned', 'pleaded (to)', 'prayed', 'solicited', 'supplicated']]",[],[],[]
93,lord,"['one having power and authority over others:', 'a ruler by hereditary right or preeminence to whom service and obedience are due', 'one of whom a fee or estate is held in feudal tenure']","[['baron', 'captain', 'czar', 'king', 'lion', 'magnate', 'mogul', 'monarch', 'Napoleon', 'prince', 'tycoon'], ['Allah', 'Almighty', 'Author', 'Creator', 'deity', 'Divinity', 'Eternal', 'Everlasting', 'Father', 'God', 'Godhead', 'Jehovah', 'King', 'Maker', 'Providence', 'Supreme Being', 'Yahweh'], ['gentleman', 'grandee', 'milord', 'nobleman', 'peer']]",[],[],[]
94,please,"['to afford or give pleasure or satisfaction', 'like, wish', 'to have the kindness']","[['agree (with)', 'content', 'delight', 'feast', 'gas', 'glad', 'gladden', 'gratify', 'pleasure', 'rejoice', 'satisfy', 'suit', 'warm'], ['choose', 'like', 'want', 'will', 'wish']]","['choose', 'like', 'will']",[['displease']],[]
95,good,"['of a favorable character or tendency', 'bountiful, fertile', 'handsome, attractive']","[['commonsense', 'commonsensible', 'commonsensical', 'firm', 'hard', 'informed', 'just', 'justified', 'levelheaded', 'logical', 'rational', 'reasonable', 'reasoned', 'sensible', 'sober', 'solid', 'valid', 'well-founded'], ['all right', 'decent', 'ethical', 'honest', 'honorable', 'just', 'moral', 'nice', 'right', 'righteous', 'right-minded', 'straight', 'true', 'upright', 'virtuous'], ['analytic', 'coherent', 'consequent', 'logical', 'rational', 'reasonable', 'sensible', 'sound', 'valid', 'well-founded', 'well-grounded'], ['agreeable', 'all right', 'alright', 'copacetic', 'ducky', 'fine', 'hunky-dory', 'jake', 'OK', 'palatable', 'satisfactory'], ['admiring', 'applauding', 'appreciative', 'approbatory', 'approving', 'commendatory', 'complimentary', 'favorable', 'friendly', 'positive'], ['constant', 'dedicated', 'devoted', 'devout', 'down-the-line', 'faithful', 'fast', 'loyal', 'pious', 'staunch', 'steadfast', 'steady', 'true', 'true-blue'], ['agreeable', 'blessed', 'congenial', 'darling', 'delectable', 'delicious', 'delightful', 'delightsome', 'dreamy', 'dulcet', 'enjoyable', 'felicitous', 'grateful', 'gratifying', 'heavenly', 'jolly', 'luscious', 'nice', 'palatable', 'pleasant', 'pleasing', 'pleasurable', 'pretty', 'satisfying', 'savory', 'sweet', 'tasty', 'welcome'], ['accomplished', 'ace', 'adept', 'compleat', 'complete', 'consummate', 'crack', 'crackerjack', 'educated', 'experienced', 'expert', 'great', 'master', 'masterful', 'masterly', 'practiced', 'professed', 'proficient', 'skilled', 'skillful', 'versed', 'veteran', 'virtuoso'], ['deserving', 'meritorious', 'worthy'], ['able', 'capable', 'competent', 'equal', 'fit', 'qualified', 'suitable'], ['applicable', 'appropriate', 'apt', 'becoming', 'befitting', 'felicitous', 'fit', 'fitted', 'fitting', 'happy', 'meet', 'pretty', 'proper', 'right', 'suitable'], ['biggish', 'considerable', 'goodly', 'handsome', 'healthy', 'largish', 'major', 'respectable', 'significant', 'sizable', 'substantial', 'substantive', 'tidy'], ['calculable', 'dependable', 'reliable', 'responsible', 'safe', 'secure', 'solid', 'steady', 'sure', 'tried', 'tried-and-true', 'true', 'trustable', 'trustworthy', 'trusty'], ['accurate', 'bang on', 'correct', 'dead-on', 'exact', 'on-target', 'precise', 'proper', 'right', 'so', 'spot-on', 'true', 'veracious'], ['aesthetic', 'attractive', 'beauteous', 'beautiful', 'bonny', 'comely', 'cute', 'drop-dead', 'fair', 'fetching', 'good-looking', 'goodly', 'gorgeous', 'handsome', 'knockout', 'likely', 'lovely', 'lovesome', 'pretty', 'ravishing', 'seemly', 'sightly', 'stunning', 'taking', 'well-favored'], ['healthful', 'healthy', 'medicinal', 'restorative', 'salubrious', 'salutary', 'salutiferous', 'sanative', 'tonic', 'wholesome'], ['altruistic', 'beneficent', 'benevolent', 'charitable', 'do-good', 'eleemosynary', 'humanitarian', 'philanthropic'], ['acceptable', 'adequate', 'all right', 'decent', 'fairish', 'fine', 'OK', 'passable', 'respectable', 'satisfactory', 'serviceable', 'tolerable'], ['advantageous', 'benefic', 'beneficent', 'beneficial', 'benignant', 'favorable', 'friendly', 'helpful', 'kindly', 'profitable', 'salutary']]","['just', 'right', 'true', 'fast', 'meet', 'safe', 'so']","[['groundless', 'illogical', 'invalid', 'irrational', 'nonrational', 'nonsensical', 'nonvalid', 'unfounded', 'uninformed', 'unjustified', 'unreasonable', 'unreasoned', 'unsound'], ['bad', 'black', 'dishonest', 'dishonorable', 'evil', 'evil-minded', 'immoral', 'indecent', 'sinful', 'unethical', 'unrighteous', 'wicked', 'wrong'], ['illegitimate', 'illogical', 'incoherent', 'inconsequent', 'inconsequential', 'invalid', 'irrational', 'unreasonable', 'unsound', 'weak'], ['disagreeable', 'unsatisfactory'], ['adverse', 'depreciative', 'depreciatory', 'derogatory', 'disapproving', 'inappreciative', 'negative', 'unappreciative', 'uncomplimentary', 'unfavorable', 'unflattering', 'unfriendly'], ['disloyal', 'faithless', 'false', 'fickle', 'inconstant', 'perfidious', 'recreant', 'traitorous', 'treacherous', 'unfaithful', 'untrue'], ['disagreeable', 'pleasureless', 'unpalatable', 'unpleasant', 'unwelcome'], ['amateur', 'amateurish', 'inexperienced', 'inexpert', 'jackleg', 'unprofessional', 'unseasoned', 'unskilled', 'unskillful'], ['no-good', 'undeserving', 'valueless', 'worthless'], ['incompetent', 'inept', 'poor', 'unfit', 'unfitted', 'unqualified'], ['improper', 'inapplicable', 'inapposite', 'inappropriate', 'inapt', 'incongruous', 'indecent', 'infelicitous', 'malapropos', 'misbecoming', 'unapt', 'unbecoming', 'unbeseeming', 'unfit', 'unfitting', 'unhappy', 'unmeet', 'unseemly', 'unsuitable', 'wrong'], ['inconsequential', 'inconsiderable', 'insignificant', 'insubstantial', 'negligible', 'nominal'], ['dodgy', 'uncertain', 'undependable', 'unreliable', 'unsafe', 'untrustworthy'], ['false', 'improper', 'inaccurate', 'incorrect', 'inexact', 'off', 'untrue', 'wrong'], ['grotesque', 'hideous', 'homely', 'ill-favored', 'plain', 'ugly', 'unaesthetic', 'unattractive', 'unbeautiful', 'uncomely', 'uncute', 'unhandsome', 'unlovely', 'unpleasing', 'unpretty', 'unsightly'], ['insalubrious', 'noxious', 'unhealthful', 'unhealthy', 'unwholesome'], ['self-centered', 'self-concerned', 'selfish'], ['deficient', 'inadequate', 'insufficient', 'lacking', 'unacceptable', 'unsatisfactory', 'wanting'], ['bad', 'disadvantageous', 'unfavorable', 'unfriendly', 'unhelpful', 'unprofitable']]","['bad', 'wrong', 'off']"
96,daddy,"['father', 'granddaddy']","[['dad', 'father', 'old man', 'pa', 'papa', 'pater', 'pop', 'sire'], ['ancestor', 'antecedent', 'archetype', 'foregoer', 'forerunner', 'granddaddy', 'precursor', 'predecessor', 'prototype']]",['dad'],[['descendant']],[]
97,he,"['that male one who is neither speaker nor hearer', '—used in a generic sense or when the gender of the person is unspecified']","[['individualist', 'achiever', 'comer', 'doer', 'enterpriser', 'eager beaver', 'bootstrapper', 'go-ahead', 'go-getter', 'highflier', 'hummer', 'hustler', 'live wire', 'powerhouse', 'self-starter']]",[],"[['dawdler', 'idler', 'loafer', 'lounger', 'putterer', 'trifler', 'goldbrick', 'malingerer', 'procrastinator', 'shirker', 'slacker', 'drone', 'lazybones', 'sluggard', 'dallier', 'laggard', 'lingerer', 'loiterer', 'slowpoke', 'stick-in-the-mud', 'ignorer', ""ne'er-do-well"", 'neglecter', 'daydreamer', 'dreamer', 'dropout', 'quitter']]",[]
98,needs,['of necessity : necessarily'],"[['ineluctably', 'inescapably', 'inevitably', 'ipso facto', 'necessarily', 'perforce', 'unavoidably']]",[],[],[]
99,love,"['strong affection for another arising out of kinship or personal ties', 'attraction based on sexual desire : affection and tenderness felt by lovers', 'affection based on admiration, benevolence, or common interests']","[['appreciate', 'cherish', 'prize', 'treasure', 'value'], ['adore', 'cherish', 'worship'], ['adore', 'delight (in)', 'dig', 'enjoy', 'fancy', 'get off (on)', 'groove (on)', 'like', 'rejoice (in)', 'relish', 'revel (in)', 'savor'], ['caress', 'fondle', 'gentle', 'pat', 'pet', 'stroke']]",['like'],"[['disvalue'], ['abhor', 'abominate', 'despise', 'detest', 'execrate', 'hate', 'loathe']]",['hate']
100,knowledge,"['the fact or condition of knowing something with familiarity gained through experience or association', 'acquaintance with or understanding of a science, art, or technique', 'the fact or condition of being aware of something']","[['lore', 'science', 'wisdom'], ['education', 'erudition', 'learnedness', 'learning', 'literacy', 'scholarship'], ['advertence', 'advertency', 'attention', 'awareness', 'cognizance', 'consciousness', 'ear', 'eye', 'heed', 'mindfulness', 'note', 'notice', 'observance', 'observation']]",[],"[['ignorance', 'illiteracy', 'illiterateness']]",[]
101,discipline,"['control gained by enforcing obedience or order', 'orderly or prescribed conduct or pattern of behavior', 'self-control']","[['area', 'arena', 'bailiwick', 'barony', 'business', 'circle', 'demesne', 'department', 'domain', 'element', 'fief', 'fiefdom', 'field', 'firmament', 'front', 'game', 'kingdom', 'line', 'precinct', 'province', 'realm', 'specialty', 'sphere', 'terrain', 'walk'], ['castigation', 'chastisement', 'comeuppance', 'correction', 'desert(s)', 'nemesis', 'penalty', 'punishment', 'wrath'], ['constraint', 'continence', 'discretion', 'inhibition', 'refrainment', 'repression', 'reserve', 'restraint', 'self-command', 'self-control', 'self-restraint', 'suppression']]",['line'],"[['disinhibition', 'incontinence', 'unconstraint']]",[]
102,too,"['besides, also', 'to an excessive degree : excessively', 'to such a degree as to be regrettable']","[['devilishly', 'excessively', 'exorbitantly', 'inordinately', 'intolerably', 'monstrously', 'overly', 'overmuch', 'unacceptably', 'unduly'], ['additionally', 'again', 'also', 'besides', 'either', 'further', 'furthermore', 'likewise', 'more', 'moreover', 'then', 'withal', 'yet'], ['achingly', 'almighty', 'archly', 'awful', 'awfully', 'badly', 'beastly', 'blisteringly', 'bone', 'colossally', 'corking', 'cracking', 'damn', 'damned', 'dang', 'deadly', 'desperately', 'eminently', 'enormously', 'especially', 'ever', 'exceedingly', 'extra', 'extremely', 'fabulously', 'fantastically', 'far', 'fiercely', 'filthy', 'frightfully', 'full', 'greatly', 'heavily', 'highly', 'hugely', 'immensely', 'incredibly', 'intensely', 'jolly', 'majorly', 'mightily', 'mighty', 'monstrous', 'mortally', 'most', 'much', 'particularly', 'passing', 'rattling', 'real', 'really', 'right', 'roaring', 'roaringly', 'seriously', 'severely', 'so', 'sore', 'sorely', 'spanking', 'specially', 'stinking', 'such', 'super', 'supremely', 'surpassingly', 'terribly', 'that', 'thumping', 'unco', 'uncommonly', 'vastly', 'very', 'vitally', 'way', 'whacking', 'wicked', 'wildly']]","['more', 'then', 'much', 'right', 'so', 'that', 'very']","[['deficiently', 'inadequately', 'insufficiently'], ['little', 'negligibly', 'nominally', 'slightly', 'somewhat']]",['little']
103,pledge,"['a bailment of a chattel as security for a debt or other obligation without involving transfer of title', 'the chattel so delivered', 'the contract incidental to such a bailment']","[['commit', 'engage', 'mortgage', 'troth'], ['hock', 'pawn'], ['covenant', 'promise', 'swear', 'vow']]",[],[],[]
104,we,"['I and the rest of a group that includes me : you and I : you and I and another or others : I and another or others not including you —used as pronoun of the first person plural', 'i —used by sovereigns—used by writers to keep an impersonal character', 'you —used coaxingly, encouragingly, or in sarcasm']",[],[],[],[]
105,can,"['be physically or mentally able to', 'know how to', '—used to indicate possibility —sometimes used interchangeably with may']","[['break', 'break off', 'break up', 'cease', 'cut off', 'cut out', 'desist (from)', 'discontinue', 'drop', 'end', 'give over', 'halt', 'knock off', 'lay off', 'leave off', 'pack (up or in)', 'quit', 'shut off', 'stop'], ['ax', 'bounce', 'cashier', 'discharge', 'dismiss', 'fire', 'muster out', 'pink-slip', 'release', 'remove', 'retire', 'sack', 'terminate', 'turn off']]",['break'],"[['employ', 'engage', 'hire', 'retain', 'sign (up or on)', 'take on']]",[]
106,make,"['to bring into being by forming, shaping, or altering material : fashion', 'to lay out and construct', 'compose, write']","[['fabricate', 'fashion', 'form', 'frame', 'manufacture', 'produce'], ['achieve', 'attain', 'bag', 'chalk up', 'clock (up)', 'gain', 'hit', 'log', 'notch (up)', 'rack up', 'ring up', 'score', 'win'], ['beget', 'breed', 'bring', 'bring about', 'bring on', 'catalyze', 'cause', 'create', 'do', 'draw on', 'effect', 'effectuate', 'engender', 'generate', 'induce', 'invoke', 'occasion', 'produce', 'prompt', 'result (in)', 'spawn', 'translate (into)', 'work', 'yield'], ['accomplish', 'achieve', 'bring off', 'carry off', 'carry out', 'commit', 'compass', 'do', 'execute', 'follow through (with)', 'fulfill', 'negotiate', 'perform', 'perpetrate', 'prosecute', 'pull off', 'put through'], ['blackjack', 'coerce', 'compel', 'constrain', 'dragoon', 'drive', 'force', 'impel', 'impress', 'muscle', 'obligate', 'oblige', 'press', 'pressure', 'sandbag'], ['calculate', 'call', 'conjecture', 'estimate', 'figure', 'gauge', 'guess', 'judge', 'place', 'put', 'reckon', 'suppose'], ['assemble', 'build', 'confect', 'construct', 'erect', 'fabricate', 'make up', 'piece', 'put up', 'raise', 'rear', 'set up'], ['act', 'appear', 'come across (as)', 'come off (as)', 'feel', 'look', 'seem', 'sound'], ['bear', 'head'], ['constitute', 'enact', 'lay down', 'legislate', 'ordain', 'pass'], ['acquire', 'attain', 'bag', 'bring in', 'capture', 'carry', 'come by', 'draw', 'earn', 'gain', 'garner', 'get', 'knock down', 'land', 'obtain', 'procure', 'pull down', 'realize', 'reap', 'secure', 'win'], ['appreciate', 'apprehend', 'assimilate', 'behold', 'catch', 'catch on (to)', 'cognize', 'compass', 'comprehend', 'conceive', 'cotton (to or on to)', 'decipher', 'decode', 'dig', 'discern', 'get', 'grasp', 'grok', 'intuit', 'know', 'make out', 'perceive', 'recognize', 'register', 'savvy', 'see', 'seize', 'sense', 'tumble (to)', 'twig', 'understand'], ['close', 'shut', 'steek']]","['do', 'work', 'place', 'feel', 'look', 'head', 'get', 'know', 'see']","[['demount', 'disassemble', 'dismantle', 'dismember', 'knock down', 'strike', 'take down', 'tear down'], ['repeal', 'rescind', 'revoke'], ['forfeit', 'lose'], ['miss'], ['open']]",['lose']
107,it,"['that one —used as subject or direct object or indirect object of a verb or object of a preposition usually in reference to a lifeless thing, a plant, a person or animal whose sex is unknown or disregarded, a group of individuals or things, or an abstract entity', '—used as subject of an impersonal verb that expresses a condition or action without reference to an agent', '—used as anticipatory subject or object of a verb —often used to shift emphasis to a part of a statement other than the subject']","[['au courant', 'cool', 'def', 'downtown', 'groovy', 'hep', 'hip', 'in', 'mod', 'now', 'trendy', 'turned-on']]","['in', 'now']","[['out', 'uncool', 'unhip', 'untrendy']]",['out']
108,if,"['in the event that', 'allowing that', 'on the assumption that']","[['assumption', 'given', 'hypothetical', 'postulate', 'premise', 'presumption', 'presupposition', 'supposition'], ['condition', 'contingency', 'provision', 'proviso', 'qualification', 'reservation', 'stipulation']]",[],[],[]
109,try,"['to make an attempt', 'to make an attempt at —often used with an infinitive', 'to put to test or trial —often used with out']","[['strain', 'stretch', 'tax', 'test'], ['assay', 'attempt', 'endeavor', 'essay', 'seek', 'strive']]",['test'],[],[]
110,building,"['a usually roofed and walled structure built for permanent use (as for a dwelling)', 'the art or business of assembling materials into a structure']","[['edifice', 'structure']]",[],[],[]
111,castles,"['a large fortified building or set of buildings', 'a massive or imposing house', 'a retreat safe against intrusion or invasion']","[['bastions', 'citadels', 'fortifications', 'fortresses', 'forts', 'holds', 'redoubts', 'strongholds'], ['châteaus', 'estates', 'haciendas', 'halls', 'manor houses', 'manors', 'manses', 'mansions', 'palaces', 'villas']]",[],[],[]
112,sky,"['the upper atmosphere or expanse of space that constitutes an apparent great vault or arch over the earth', 'heaven', 'weather in the upper atmosphere']","[['blue', 'firmament', 'heaven(s)', 'high', 'welkin'], ['above', 'bliss', 'elysian fields', 'Elysium', 'empyrean', 'heaven', 'kingdom come', 'New Jerusalem', 'paradise', 'Zion']]",[],"[['Gehenna', 'hell', 'Pandemonium', 'perdition']]",[]
113,five,"['a number that is one more than four', 'a British handball game', 'the fifth in a set or series']","[['C-note', 'fifty', 'fin', 'fiver', 'hundred', 'one', 'sawbuck', 'ten', 'tenner', 'twenty', 'two', 'buck', 'dollar', 'simoleon', 'smacker', 'cash', 'chips', 'currency', 'dough', 'legal tender', 'lucre', 'money', 'pelf', 'dead presidents', 'paper money', 'scrip', 'check', 'draft', 'money order', 'banknote', 'bill', 'greenback', 'note']]","['one', 'two']",[],[]
114,years,"['the period of about 3651/4 solar days required for one revolution of the earth around the sun', 'the time required for the apparent sun to return to an arbitrary fixed or moving reference point in the sky', 'the time in which a planet completes a revolution about the sun']","[['cycles', 'generations', 'ages', 'days', 'epochs', 'eras', 'periods', 'times', 'bits', 'spaces', 'spans', 'spells', 'stretches', 'whiles', 'dates', 'vintages']]",['times'],[],[]
115,old,"['dating from the remote past : ancient', 'persisting from an earlier time', 'of long standing']","[['aged', 'aging', 'ancient', 'elderly', 'geriatric', 'long-lived', 'older', 'over-the-hill', 'senescent', 'senior', 'unyoung'], ['age-old', 'aged', 'ancient', 'antediluvian', 'antique', 'dateless', 'hoar', 'hoary', 'immemorial', 'venerable'], ['erstwhile', 'former', 'late', 'once', 'onetime', 'other', 'past', 'quondam', 'sometime', 'whilom'], ['arid', 'boring', 'colorless', 'drab', 'dreary', 'drudging', 'dry', 'dull', 'dusty', 'flat', 'heavy', 'ho-hum', 'humdrum', 'jading', 'jejune', 'leaden', 'mind-numbing', 'monochromatic', 'monotonous', 'numbing', 'pedestrian', 'ponderous', 'slow', 'stale', 'stodgy', 'stuffy', 'stupid', 'tame', 'tedious', 'tiresome', 'tiring', 'uninteresting', 'wearisome', 'weary', 'wearying']]",[],"[['young', 'youthful'], ['modern', 'new', 'recent'], ['absorbing', 'engaging', 'engrossing', 'gripping', 'interesting', 'intriguing', 'involving', 'riveting']]",[]
116,bringin,"['include, introduce', 'to produce as profit or return', 'to enable (a base runner) to reach home plate by hitting the ball']","[['acquire', 'attain', 'bag', 'capture', 'carry', 'come by', 'draw', 'earn', 'gain', 'garner', 'get', 'knock down', 'land', 'make', 'obtain', 'procure', 'pull down', 'realize', 'reap', 'secure', 'win']]","['get', 'make']","[['forfeit', 'lose']]",['lose']
117,comedy,"['a medieval narrative that ends happily', 'a literary work written in a comic style or treating a comic theme', 'a drama of light and amusing character and typically with a happy ending']","[['farce', 'humor', 'slapstick'], ['comic', 'comicality', 'drollery', 'drollness', 'funniness', 'hilariousness', 'humor', 'humorousness', 'richness', 'uproariousness']]",[],[['pathos']],[]
118,everytime,['each time : whenever'],[],[],[],[]
119,look,"['to make sure or take care (that something is done)', ""to ascertain by the use of one's eyes"", 'to exercise the power of vision upon : examine']","[['act', 'appear', 'come across (as)', 'come off (as)', 'feel', 'make', 'seem', 'sound'], ['air', 'expound', 'express', 'give', 'raise', 'sound', 'state', 'vent', 'ventilate', 'voice'], ['aim', 'allow', 'aspire', 'calculate', 'contemplate', 'design', 'go', 'intend', 'mean', 'meditate', 'plan', 'propose', 'purport', 'purpose']]","['feel', 'make', 'go']","[['stifle', 'suppress']]",[]
120,at,"['—used as a function word to indicate presence or occurrence in, on, or near', '—used as a function word to indicate the goal of an indicated or implied action or motion', '—used as a function word to indicate that with which one is occupied or employed']","[['across', 'along', 'alongside', 'beside', 'circa', 'about', 'around', 'by', 'near', 'next to', 'nigh', 'toward']]",[],[],[]
121,little,"['not big: such as', 'small in size or extent : tiny', 'young']","[['low', 'low-lying', 'low-slung', 'sawed-off', 'short'], ['fiddling', 'foolish', 'frivolous', 'incidental', 'inconsequential', 'inconsiderable', 'insignificant', 'Mickey Mouse', 'minor', 'minute', 'negligible', 'nugatory', 'slight', 'small', 'small-fry', 'trifling', 'trivial', 'unimportant'], ['illiberal', 'insular', 'Lilliputian', 'narrow', 'narrow-minded', 'parochial', 'petty', 'picayune', 'provincial', 'sectarian', 'small', 'small-minded'], ['brief', 'fast', 'short'], ['bantam', 'diminutive', 'dinky', 'dwarfish', 'fine', 'half-pint', 'Lilliputian', 'pint-size', 'pocket', 'pocket-size', 'puny', 'pygmy', 'shrimpy', 'slight', 'small', 'smallish', 'subnormal', 'toylike', 'undersized']]",['fast'],"[['altitudinous', 'high', 'lofty', 'tall', 'towering'], ['big', 'consequential', 'eventful', 'important', 'major', 'material', 'meaningful', 'momentous', 'significant', 'substantial', 'unfrivolous', 'weighty'], ['broad-minded', 'catholic', 'cosmopolitan', 'liberal', 'open', 'open-minded', 'receptive', 'tolerant'], ['extended', 'far', 'great', 'lengthy', 'long', 'long-drawn-out', 'long-lived'], ['big', 'biggish', 'considerable', 'goodly', 'grand', 'great', 'handsome', 'husky', 'king-size', 'large', 'largish', 'outsize', 'overscale', 'oversize', 'sizable', 'substantial', 'tidy', 'whacking', 'whopping']]","['tall', 'long']"
122,like,"['to feel attraction toward or take pleasure in : enjoy', 'to feel toward : regard', 'to wish to have : want']","[['care (for)', 'want'], ['care (for)', 'favor', 'lean (toward or towards)', 'prefer'], ['adore', 'delight (in)', 'dig', 'enjoy', 'fancy', 'get off (on)', 'groove (on)', 'love', 'rejoice (in)', 'relish', 'revel (in)', 'savor'], ['choose', 'please', 'want', 'will', 'wish']]","['love', 'choose', 'please', 'will']",[],[]
123,wait,"['to stay in place in expectation of : await', 'to delay serving (a meal)', 'to serve as waiter for']","[['await', 'bide', 'hold on', 'stay']]",[],[],[]
124,see,"['to perceive by the eye', 'to perceive or detect as if by sight', 'to be aware of : recognize']","[['behold', 'catch', 'descry', 'discern', 'distinguish', 'espy', 'eye', 'look (at)', 'note', 'notice', 'observe', 'perceive', 'regard', 'remark', 'sight', 'spot', 'spy', 'view', 'witness'], ['endure', 'experience', 'feel', 'have', 'know', 'pass', 'suffer', 'sustain', 'taste', 'undergo', 'witness'], ['ascertain', 'catch on (to)', 'discover', 'find out', 'get on (to)', 'hear', 'learn', 'realize', 'wise (up)'], ['feel', 'perceive', 'scent', 'sense', 'smell', 'taste'], ['call (on or upon)', 'drop in (on)', 'visit'], ['appreciate', 'apprehend', 'assimilate', 'behold', 'catch', 'catch on (to)', 'cognize', 'compass', 'comprehend', 'conceive', 'cotton (to or on to)', 'decipher', 'decode', 'dig', 'discern', 'get', 'grasp', 'grok', 'intuit', 'know', 'make', 'make out', 'perceive', 'recognize', 'register', 'savvy', 'seize', 'sense', 'tumble (to)', 'twig', 'understand'], ['accompany', 'attend', 'chaperone', 'companion', 'company', 'convoy', 'escort', 'squire'], ['conceit', 'conceive', 'conjure (up)', 'dream', 'envisage', 'envision', 'fancy', 'fantasize', 'fantasy', 'feature', 'ideate', 'image', 'imagine', 'picture', 'vision', 'visualize']]","['feel', 'know', 'get', 'make']",[['miss']],[]
125,gonna,"['—used for ""going to"" in informal speech and in representations of such speech']",[],[],[],[]
